slug,name,county,kind,file,heroImage,map_source,zoom,kb
columbus-westland,"Columbus Westland",Franklin,neighborhood,hero_columbus_westland.webp,/images/columbus-heroes/hero_columbus_westland.webp,"exact municipal boundary (US Census TIGER 2019)",13,138
commercial-point,"Commercial Point",Pickaway,municipality,hero_columbus_commercial-point.webp,/images/columbus-heroes/hero_columbus_commercial-point.webp,"exact municipal boundary (US Census TIGER 2019)",13,90
croton,"Croton",Licking,municipality,hero_columbus_croton.webp,/images/columbus-heroes/hero_columbus_croton.webp,"map centred on the place, no boundary published",14,34
delaware,"Delaware",Delaware,municipality,hero_columbus_delaware.webp,/images/columbus-heroes/hero_columbus_delaware.webp,"exact municipal boundary (US Census TIGER 2019)",12,108
derby,"Derby",Pickaway,municipality,hero_columbus_derby.webp,/images/columbus-heroes/hero_columbus_derby.webp,"exact municipal boundary (US Census TIGER 2019)",14,55
dublin,"Dublin",Franklin,municipality,hero_columbus_dublin.webp,/images/columbus-heroes/hero_columbus_dublin.webp,"exact municipal boundary (US Census TIGER 2019)",12,150
east-liberty,"East Liberty",Logan,municipality,hero_columbus_east-liberty.webp,/images/columbus-heroes/hero_columbus_east-liberty.webp,"exact municipal boundary (US Census TIGER 2019)",14,53
fulton,"Fulton",Morrow,municipality,hero_columbus_fulton.webp,/images/columbus-heroes/hero_columbus_fulton.webp,"exact municipal boundary (US Census TIGER 2019)",15,42
galena,"Galena",Delaware,municipality,hero_columbus_galena.webp,/images/columbus-heroes/hero_columbus_galena.webp,"exact municipal boundary (US Census TIGER 2019)",14,87
galloway,"Galloway",Franklin,municipality,hero_columbus_galloway.webp,/images/columbus-heroes/hero_columbus_galloway.webp,"map centred on the place, no boundary published",14,85
granville,"Granville",Licking,municipality,hero_columbus_granville.webp,/images/columbus-heroes/hero_columbus_granville.webp,"exact municipal boundary (US Census TIGER 2019)",13,96
green-camp,"Green Camp",Marion,municipality,hero_columbus_green-camp.webp,/images/columbus-heroes/hero_columbus_green-camp.webp,"exact municipal boundary (US Census TIGER 2019)",15,39
grove-city,"Grove City",Franklin,municipality,hero_columbus_grove-city.webp,/images/columbus-heroes/hero_columbus_grove-city.webp,"exact municipal boundary (US Census TIGER 2019)",12,157
groveport,"Groveport",Franklin,municipality,hero_columbus_groveport.webp,/images/columbus-heroes/hero_columbus_groveport.webp,"exact municipal boundary (US Census TIGER 2019)",13,149
harrisburg,"Harrisburg",Franklin,municipality,hero_columbus_harrisburg.webp,/images/columbus-heroes/hero_columbus_harrisburg.webp,"exact municipal boundary (US Census TIGER 2019)",16,60
heath,"Heath",Licking,municipality,hero_columbus_heath.webp,/images/columbus-heroes/hero_columbus_heath.webp,"exact municipal boundary (US Census TIGER 2019)",12,91
hebron,"Hebron",Licking,municipality,hero_columbus_hebron.webp,/images/columbus-heroes/hero_columbus_hebron.webp,"exact municipal boundary (US Census TIGER 2019)",14,69
hilliard,"Hilliard",Franklin,municipality,hero_columbus_hilliard.webp,/images/columbus-heroes/hero_columbus_hilliard.webp,"exact municipal boundary (US Census TIGER 2019)",12,167
irwin,"Irwin",Union,municipality,hero_columbus_irwin.webp,/images/columbus-heroes/hero_columbus_irwin.webp,"map centred on the place, no boundary published",14,34
jacksontown,"Jacksontown",Licking,municipality,hero_columbus_jacksontown.webp,/images/columbus-heroes/hero_columbus_jacksontown.webp,"boundary from OpenStreetMap",16,26
jeffersonville,"Jeffersonville",Fayette,municipality,hero_columbus_jeffersonville.webp,/images/columbus-heroes/hero_columbus_jeffersonville.webp,"exact municipal boundary (US Census TIGER 2019)",14,48
johnstown,"Johnstown",Licking,municipality,hero_columbus_johnstown.webp,/images/columbus-heroes/hero_columbus_johnstown.webp,"exact municipal boundary (US Census TIGER 2019)",13,63
kilbourne,"Kilbourne",Delaware,municipality,hero_columbus_kilbourne.webp,/images/columbus-heroes/hero_columbus_kilbourne.webp,"exact municipal boundary (US Census TIGER 2019)",15,39
kingston,"Kingston",Ross,municipality,hero_columbus_kingston.webp,/images/columbus-heroes/hero_columbus_kingston.webp,"exact municipal boundary (US Census TIGER 2019)",15,46
